Taxonomy,Inferred Activity
Rhinopithecus roxellana,2422.3852507200936
Tokudaia tokunoshimensis,2416.8842230439222
Balaenoptera acutorostrata scammoni,1440.1495929758016
Mus musculus,1414.6357291239037
Mus spretus,1228.086519594431
Ailuropoda melanoleuca,1094.2240335630886
Mustela lutreola,1078.4879376289177
Suncus etruscus,1037.2518708126584
Saguinus oedipus,1036.9842299055406
Eubalaena glacialis,990.0895332818334
Choloepus didactylus,972.406351380592
Mus musculus domesticus,960.9436804744516
Elephas maximus,915.7765765512547
Dasyurus viverrinus,879.074028787224
Marmota monax,857.3461107398855
Erethizon dorsatum,848.0098447648159
Pantholops hodgsonii,816.567311260746
Dipodomys spectabilis,773.0826284294069
Apodemus sylvaticus,758.6670591677595
Martes zibellina,667.2893294742405
Lipotes vexillifer,662.5516221321767
Phocoena sinus,601.8165795877914
Vulpes lagopus,580.076738290734
Marmota marmota marmota,569.3304720594383
Nycticebus coucang,552.5913713195785
Elaphurus davidianus,543.0265080442358
Rattus norvegicus,537.5451757095724
Panthera leo,536.1428507778473
Hyperoodon ampullatus,526.7539997659267
Axis porcinus,497.9099005638687
Prionailurus bengalensis,489.5106413364289
Neogale vison,487.39050063431665
Myotis yumanensis,480.6097933298492
Dasypus novemcinctus,462.28941049572916
Mus musculus molossinus,443.1955589057327
Cynocephalus volans,441.9117315786094
Dugong dugon,439.2144101055407
Kobus ellipsiprymnus,436.80167186821
Lepus oiostolus,433.45609019390054
Lynx rufus,420.1369107075619
Ursus maritimus,417.74785270508426
Litocranius walleri,408.2398325893185
Fukomys damarensis,405.4709141450875
Microtus californicus,395.98019719589803
Cercopithecus albogularis,381.38153954505816
Neofelis nebulosa,366.48391033377015
Spilogale interrupta,353.0176569101051
Perognathus longimembris,341.07746551743185
Marmota himalayana,324.72034249793865
Canis lupus familiaris,324.0376353803761
Saccopteryx bilineata,318.84135608799795
Manis pentadactyla,318.49805007765406
Prionailurus viverrinus,305.4578319769064
Capra sibirica,304.67200900183343
Plecotus auritus,301.274532721838
Canis lupus,297.8938441943342
Dipodomys merriami,296.87694865169647
Capreolus capreolus,296.11681651981803
Chionomys nivalis,294.6642339938632
Eptesicus nilssonii,286.3342173848557
Peromyscus eremicus,282.8148092916398
Paguma larvata,278.7729745260166
Neophocaena asiaeorientalis sunameri,278.56845568508595
Camelus bactrianus,274.23737066926446
Monodelphis domestica,269.00168123040305
Canis latrans,267.8266852785879
Pipistrellus nathusii,257.1502979631473
Rhynchonycteris naso,251.3027328534671
Mustela erminea,248.30269628216888
Sciurus vulgaris,241.8784448127831
Bubalus kerabau,239.81095491512653
Jaculus jaculus,239.67195185167384
Peromyscus maniculatus sonoriensis,238.84308747539902
Lama guanicoe cacsilensis,232.515300440518
Sarcophilus harrisii,230.39850009809774
Mus musculus castaneus,227.85243325355748
Molossus alvarezi,223.79408895390742
Nyctalus aviator,222.05764220950564
Dipus sagitta,219.7154890544213
Saimiri boliviensis boliviensis,216.69486477083586
Theropithecus gelada,207.8181068261479
Felis chaus,205.85026769266676
Zalophus californianus,203.1880492829804
Acomys russatus,201.08585456994007
Myotis myotis,196.7482414403033
Hipposideros larvatus,195.29851301908795
Panthera tigris altaica,192.3244038210356
Vicugna vicugna mensalis,191.5663734187886
Diceros bicornis,191.15144785520636
Lynx canadensis,189.1655626797811
Panthera tigris,183.87473673864528
Ailurus styani,178.5361345150916
Tamandua tetradactyla,177.95348559043703
Nyctereutes procyonoides,176.28203140403014
Dromiciops gliroides,173.19928958580059
Notamacropus eugenii,164.88498979006778
Vulpes vulpes,158.39789770873531
Grammomys surdaster,157.1267824834053
Phocoena phocoena,154.4984369512546
Desmodus rotundus,151.42921257876264
Vicugna pacos huacaya,145.38720675343106
Rhinolophus ferrumequinum,144.39180618782697
Tursiops truncatus,144.34632076389224
Sciurus carolinensis,143.99010451830316
Arvicola amphibius,142.3034629041491
Lophocebus aterrimus,140.47142470724117
Damaliscus lunatus,134.7656610418415
Microtus oregoni,134.47384946409866
Sylvilagus floridanus,128.42627571439226
Dama dama,123.51649346700015
Talpa occidentalis,119.43012102298033
Equus quagga,119.29337075113996
Syncerus caffer,118.27349041077954
Sturnira hondurensis,116.73889221490079
Cervus elaphus,116.48435228986759
Psammomys obesus,109.47428533126438
Globicephala melas,108.42212812461345
Meles meles,108.41281288572642
Bos javanicus,107.37947914073983
Pusa hispida saimensis,107.28173731707119
Martes martes,106.67111741889538
Tadarida brasiliensis,103.62268715476353
Eudorcas thomsonii,102.73571656177621
Erinaceus europaeus,92.7435809599319
Capricornis sumatraensis,91.54614863631959
Bison bonasus,88.60357763557454
Ochotona princeps,88.58573165351588
Sus scrofa scrofa,86.44529007486717
Peromyscus californicus insignis,85.71030515607691
Budorcas taxicolor,83.55540555360807
Lepus europaeus,82.6216692624635
Nomascus leucogenys,82.38840714856094
Delphinus delphis,81.46984676613661
Sus scrofa,80.48365368631974
Otocolobus manul,79.42392807343693
Pipistrellus pipistrellus,75.5939598860729
Panthera tigris jacksoni,75.52525698421694
Eptesicus fuscus,73.7285955127183
Cephalophus harveyi,72.72949668927619
Phodopus roborovskii,72.71083938752872
Cervus albirostris,71.71542724338605
Antilocapra americana,71.60274937885185
Ursus arctos,70.84981894422009
Macaca fascicularis,67.56353095102862
Molossus nigricans,66.84605616485449
Cavia porcellus,63.8740408304966
Bos indicus x Bos taurus,63.543771674867685
Ochotona curzoniae,62.98120103606018
Vespertilio murinus,62.865451180363856
Oryctolagus cuniculus cuniculus,61.665226174927504
Tupaia tana,60.79553958100223
Lagenorhynchus obliquidens,59.67952585117249
Macaca mulatta,59.647524680142176
Tapirus indicus,58.58664407070679
Ovis orientalis,58.58520719303823
Felis catus,57.69697832593727
Sorex fumeus,55.78943563124118
Pipistrellus kuhlii,55.7558364336359
Sorex araneus,54.715553725422346
Lutra lutra,54.707347446965244
Mesoplodon densirostris,53.750840715477466
Macaca nigra,53.70555692451263
Balaenoptera physalus,52.701191645281746
Kogia breviceps,50.63496802676708
Redunca redunca,49.77805927112506
Bubalus bubalis,49.70274635812013
Gulo gulo,46.78764122791489
Oryx dammah,45.75557341593136
Ovibos moschatus,45.75044606791664
Odocoileus hemionus,44.890497078491975
Pongo pygmaeus,44.72315009855695
Mesocricetus auratus,42.92645977747816
Inia geoffrensis,41.73871309704403
Bos gaurus x Bos taurus,40.72192118248138
Saccopteryx leptura,38.872047799673716
Tamias sibiricus,38.819425341390854
Microtus pennsylvanicus,37.91640856457549
Acomys dimidiatus,37.86715917662074
Rucervus eldii siamensis,37.802382196222716
Hippopotamus amphibius,36.951470766651596
Eschrichtius robustus,36.81573217211297
Ateles geoffroyi,35.86851498791536
Gymnobelideus leadbeateri,35.82476064672452
Stenella coeruleoalba,33.92177953847616
Myotis brandtii,33.84147374582776
Hipposideros pendleburyi,33.80553512054758
Antechinus stuartii,33.74885620050012
Tragelaphus scriptus,32.915197916584646
Ovis ammon polii x Ovis aries,30.865549004825496
Bos taurus,30.8328269937673
Equus quagga burchellii,29.92738700923271
Pipistrellus pygmaeus,27.87967882436548
Capra hircus,27.85777079164136
Bettongia penicillata,26.894369696324077
Aeorestes cinereus,26.84175036840244
Equus przewalskii,25.948351788758657
Lemur catta,25.929525913669774
Sousa chinensis,25.84214160476258
Microtus agrestis,24.84239463502003
Equus caballus,24.841232906951113
Bos gaurus,23.846855350347983
Phoca vitulina,22.822084671443058
Peromyscus leucopus,21.884416334212904
Chlorocebus sabaeus,21.824953569365984
Phataginus tricuspis,20.871618026950568
Felis nigripes,20.863394556308783
Equus asinus asinus,19.938938913488144
Pongo abelii,19.868119891497727
Leopardus geoffroyi,19.84784516950182
Bos grunniens x Bos taurus,18.854719182987477
Rhabdomys dilectus,16.9421398152118
Ovis ammon,16.88594964213953
Cricetulus griseus,15.99843137254902
Balaenoptera ricei,15.993759750390016
Acomys kempi,15.931990855951
Mirounga leonina,15.904761807585137
Tragelaphus spekii,14.988998033664846
Lagenorhynchus albirostris,14.960926436381584
Sus cebifrons,14.922651300377996
Pan troglodytes,14.91099967870327
Lophiomys imhausi,13.911110434468982
Panthera pardus,13.907957524709417
Urocyon cinereoargenteus,12.984335832298422
Cynomys gunnisoni,12.963947361474213
Ursus americanus,11.962524303450806
Callithrix jacchus,11.937485259866362
Gorilla gorilla,11.935967936570037
Phyllostomus discolor,10.913764821096029
Ursus arctos horribilis,9.96407099245695
Ovis aries,9.956770222160209
Capra ibex,9.949180766715346
Alexandromys oeconomus,9.937556074257023
Connochaetes taurinus,8.978102947037838
Panthera uncia,8.934426229508198
Pan paniscus,7.996867658574785
Chlorocebus aethiops,7.9921679190304475
Bos mutus,7.974897024112556
Neophocaena asiaeorientalis asiaeorientalis,7.962449825828429
Corynorhinus townsendii,7.953132301321591
Tolypeutes matacus,7.953112743329909
Trachypithecus francoisi,7.9437621822431534
Meriones unguiculatus,6.998431372549019
Orcinus orca,6.982813673964747
Mastomys natalensis,6.9765539388335585
Macaca thibetana,6.9671972159591755
Neotragus moschatus,6.965463692008008
Hippotragus equinus,6.948461887374504
Cervus hanglu yarkandensis,6.946698621575468
Rangifer tarandus,5.9937328623365405
Tragelaphus strepsiceros,5.980397040414957
Arvicanthis niloticus,5.954787373100535
Macaca cyclopis,4.967197250372163
Piliocolobus tephrosceles,4.0
Ursus thibetanus thibetanus,3.9937402190923317
Tokudaia osimensis,3.9906127738609234
Mandrillus leucophaeus,3.9874804381846634
Tragelaphus eurycerus,3.979698460612388
Myodes glareolus,3.9734935305440278
Papio anubis,3.0
Homo Sapiens,2.9984313725490197
Myotis daubentonii,2.99375
Callorhinus ursinus,2.9921875
Sapajus apella,2.992181391712275
Lepus townsendii,2.990625
Lama glama,2.987482879574452
Cephalopachus bancanus,2.985926487862177
Eumetopias jubatus,2.0
