Taxonomy,Inferred Activity
Pan troglodytes,141.26586757697476
Pan paniscus,140.92344623552844
Eptesicus fuscus,140.5341730212572
Oryx dammah,138.87294753516187
Enhydra lutris kenyoni,134.65628912396392
Ursus americanus,131.7249603256777
Microtus pennsylvanicus,128.91841597032413
Cervus albirostris,128.90842389597054
Eudorcas thomsonii,124.38090755396735
Arvicanthis niloticus,119.72757492445562
Bison bonasus,115.17810703778956
Cephalophus harveyi,113.96831829267178
Eschrichtius robustus,110.51889339739175
Oryctolagus cuniculus cuniculus,105.84625195821911
Phodopus roborovskii,105.10964235716584
Sousa chinensis,101.32390776939162
Bos grunniens x Bos taurus,100.52143403353473
Capra hircus,100.3607012608757
Mustela nigripes,96.73236478978941
Pipistrellus pipistrellus,96.28791275902387
Mesocricetus auratus,93.85287536338114
Redunca redunca,92.98169175548865
Bettongia penicillata,92.55246463777101
Neodon shergylaensis,92.05841784717208
Lagenorhynchus albirostris,87.28391295109846
Lagenorhynchus obliquidens,87.19104117682214
Corynorhinus townsendii,85.45173293083079
Lophiomys imhausi,82.62822836601359
Sorex fumeus,81.31217911913801
Callorhinus ursinus,80.47934335994624
Vespertilio murinus,75.66319803857198
Ateles geoffroyi,73.95918730110321
Antechinus stuartii,73.17915772357779
Ovibos moschatus,72.16847550926391
Bos gaurus,71.97041481774663
Cervus hanglu yarkandensis,71.6867808993718
Hippotragus equinus,68.76685781533125
Pipistrellus kuhlii,67.5906586911578
Lepus townsendii,67.55977833306116
Rucervus eldii siamensis,66.25438659570574
Odocoileus hemionus,65.45550869695886
Gymnobelideus leadbeateri,65.36947061747229
Acomys dimidiatus,65.36055789249816
Stenella coeruleoalba,63.372189478796685
Tamias sibiricus,63.3577588172611
Diceros bicornis michaeli,58.76038717066516
Microtus agrestis,58.25830747056777
Tragelaphus eurycerus,57.82413191351701
Rangifer tarandus caribou,56.64393453856406
Smutsia gigantea,56.62407507708715
Equus caballus,56.236720133362816
Saccopteryx leptura,55.55755035884009
Orcinus orca,53.84202335435022
Myotis brandtii,51.564317790164495
Hipposideros pendleburyi,51.48447876658849
Vulpes corsac,47.75269920668467
Ursus arctos horribilis,47.15977364387942
Trachypithecus francoisi,46.11342119702662
Phataginus tricuspis,41.54758495708752
Glaucomys volans,40.06091282028981
Tragelaphus scriptus,38.77981055720583
Sus cebifrons,38.5024114709956
Phyllostomus discolor,38.43958149578895
Marmota flaviventris,36.05683251308038
Equus quagga burchellii,35.832654009286415
Aeorestes cinereus,35.678294078587875
